Land,Ländercode,Jahr,Aerzte_pro_1000,Gesundheitsausgaben_BIP,Kindersterblichkeit,Krankenhausbetten_pro_1000,Lebenserwartung,Letzte_Aktualisierung
Afghanistan,AFG,2023,0.317,,,0.35,,24.04.2026 22:33
Afghanistan,AFG,2024,,,48.3,,66.289,24.04.2026 22:33
Albania,ALB,2024,,,8.3,,79.776,24.04.2026 22:33
Algeria,DZA,2024,,,19.5,,76.475,24.04.2026 22:33
American Samoa,ASM,2024,,,,,72.992,24.04.2026 22:33
Andorra,AND,2023,5.068,,,,,24.04.2026 22:33
Andorra,AND,2024,,,2.4,,84.188,24.04.2026 22:33
Angola,AGO,2024,,,32.1,,64.805,24.04.2026 22:33
Antigua and Barbuda,ATG,2023,,,,3.42,,24.04.2026 22:33
Antigua and Barbuda,ATG,2024,,,7.0,,77.766,24.04.2026 22:33
Arab World,ARB,2024,,,26.5842683163759,,72.721805028968,24.04.2026 22:33
Argentina,ARG,2023,5.106,,,,,24.04.2026 22:33
Argentina,ARG,2024,,,8.0,,77.543,24.04.2026 22:33
Armenia,ARM,2023,,,,4.24,,24.04.2026 22:33
Armenia,ARM,2024,,,8.5,,78.319512195122,24.04.2026 22:33
Aruba,ABW,2024,,,,,76.5,24.04.2026 22:33
Australia,AUS,2024,,,3.1,,83.0512195121951,24.04.2026 22:33
Austria,AUT,2023,5.515,,,,,24.04.2026 22:33
Austria,AUT,2024,,11.8325634,2.8,,81.9951219512195,24.04.2026 22:33
Azerbaijan,AZE,2023,,,,3.68,,24.04.2026 22:33
Azerbaijan,AZE,2024,,,12.5,,74.576,24.04.2026 22:33
"Bahamas, The",BHS,2023,,,,2.17,,24.04.2026 22:33
"Bahamas, The",BHS,2024,,,11.1,,74.71,24.04.2026 22:33
Bahrain,BHR,2024,,,7.3,,81.423,24.04.2026 22:33
Bangladesh,BGD,2023,0.722,,,0.92,,24.04.2026 22:33
Bangladesh,BGD,2024,,,24.4,,74.93,24.04.2026 22:33
Barbados,BRB,2023,,,,6.4,,24.04.2026 22:33
Barbados,BRB,2024,,,9.1,,76.332,24.04.2026 22:33
Belarus,BLR,2023,4.717,,,9.77,,24.04.2026 22:33
Belarus,BLR,2024,,,1.8,,74.3653414634147,24.04.2026 22:33
Belgium,BEL,2023,,,,5.42,,24.04.2026 22:33
Belgium,BEL,2024,,,3.1,,82.3,24.04.2026 22:33
Belize,BLZ,2023,,,,1.0,,24.04.2026 22:33
